X,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PosNum,cluster
3152,441,Jiri Welsch,SG,25,BOS,55,32,1125,4.4,10.2,0.428,1,3.2,0.323,3.4,7.1,0.475,3.5,4.5,0.773,0.6,3.8,4.4,2.7,1.2,0.2,1.9,3.4,13.3,2005,2,3
3154,442,David Wesley,SG,34,TOT,80,79,2774,4.3,10.9,0.398,1.5,4.1,0.375,2.8,6.8,0.411,2.1,2.5,0.857,0.5,2.5,3,3.4,1.2,0.1,1.5,2.8,12.3,2005,2,3
3155,442,David Wesley,SG,34,NOH,26,26,934,5.1,13.2,0.389,1.1,3.1,0.35,4,10.1,0.401,2.6,2.9,0.882,0.5,2.8,3.3,4.2,1.3,0,2.1,2.5,13.9,2005,2,4
3156,442,David Wesley,SG,34,HOU,54,53,1840,3.9,9.7,0.404,1.8,4.6,0.383,2.2,5.1,0.422,1.9,2.2,0.841,0.5,2.3,2.8,3.1,1.2,0.2,1.2,2.9,11.5,2005,2,3
3157,443,David West,SF,24,NOH,30,8,552,4.9,11.2,0.436,0.1,0.3,0.4,4.8,10.9,0.437,2.2,3.3,0.68,2.6,5.8,8.4,1.5,0.8,1,2.4,4,12.1,2005,3,1
3158,444,Delonte West,SG,21,BOS,39,7,507,4.7,11,0.426,1.7,4.8,0.358,3,6.2,0.477,1.3,1.9,0.704,1,3.6,4.6,3.8,1.5,0.6,1.7,4.9,12.4,2005,2,3
3160,446,Rodney White,SF,24,TOT,58,2,677,6.4,15.4,0.419,1.3,3.2,0.4,5.2,12.2,0.424,1.4,2.3,0.614,1.3,3.5,4.7,2.3,1.7,0.6,2,3.4,15.6,2005,3,3
3161,446,Rodney White,SF,24,DEN,42,2,531,6.6,15.4,0.432,1.3,3,0.432,5.4,12.4,0.432,1.4,2.3,0.618,1.4,3.7,5,2.4,2,0.7,1.8,3.5,16,2005,3,3
3163,447,Chris Wilcox,C,22,LAC,54,25,1005,6.1,11.8,0.514,0,0,NA,6.1,11.8,0.514,3.2,5.2,0.611,2.3,5.9,8.2,1.4,0.9,0.9,2.8,4.6,15.3,2005,5,1
3164,448,Damien Wilkins,SF,25,SEA,29,7,520,5.1,11.6,0.435,1.1,4.1,0.271,3.9,7.5,0.523,1.5,2.4,0.618,2,2.6,4.6,1.8,1.5,0.7,1.1,3.8,12.7,2005,3,3
3169,451,Eric Williams,SG,32,TOT,55,39,1322,3.9,9,0.43,0.8,2,0.384,3.1,7,0.444,3,4.4,0.696,1.2,3.5,4.7,2.5,1,0.1,1.6,4,11.5,2005,2,3
3170,451,Eric Williams,SG,32,NJN,21,21,739,4.2,9,0.47,0.8,1.9,0.425,3.4,7.1,0.483,3.6,5.3,0.685,1.4,3.3,4.6,2,0.8,0.1,1.7,3.9,12.9,2005,2,3
3171,451,Eric Williams,SG,32,TOR,34,18,583,3.4,9,0.379,0.7,2,0.333,2.7,6.9,0.393,2.3,3.3,0.717,1,3.8,4.8,3.1,1.4,0.1,1.6,4.1,9.8,2005,2,3
3173,453,Jason Williams,PG,29,MEM,71,68,1952,4.9,11.9,0.413,2,6.1,0.324,2.9,5.8,0.506,1.5,1.9,0.792,0.4,1.9,2.3,7.4,1.4,0.1,2.4,1.7,13.3,2005,1,4
3174,454,Jerome Williams,SF,31,NYK,79,4,1211,3.6,7.2,0.502,0,0.1,0,3.6,7.1,0.513,3.4,5.1,0.669,3.4,5,8.4,1.2,1.6,0.3,1.9,4.6,10.7,2005,3,2
3175,455,Mo Williams,PG,22,MIL,80,80,2254,5.2,11.8,0.438,0.5,1.6,0.323,4.6,10.2,0.456,2.2,2.6,0.85,0.8,3.1,3.9,7.7,1.2,0.2,3.1,3.5,13,2005,1,4
3177,457,Corliss Williamson,PF,31,TOT,72,9,1527,6.4,13.8,0.467,0,0,0,6.4,13.7,0.469,4.6,5.8,0.799,2.5,3.7,6.1,1.8,0.9,0.4,2,5.1,17.5,2005,4,1
3178,457,Corliss Williamson,PF,31,PHI,48,5,1056,6.6,14.2,0.465,0,0.1,0,6.6,14.1,0.467,4.4,5.6,0.788,2.5,3.6,6.1,1.5,0.9,0.4,2,4.9,17.7,2005,4,1
3181,459,Loren Woods,C,26,TOR,45,30,712,3.6,8.3,0.433,0,0.1,0,3.6,8.2,0.436,1.7,3,0.576,4.1,7,11.1,0.9,0.4,2,1.9,3.9,8.9,2005,5,2
3185,463,Lorenzen Wright,C,29,MEM,80,77,2287,5,10.8,0.469,0,0,0,5,10.7,0.471,2.1,3.1,0.662,2.8,6.9,9.6,1.4,0.9,1.1,1.6,4,12.1,2005,5,2
3187,1,Shareef Abdur-Rahim,PF,29,SAC,72,30,1961,6.1,11.6,0.525,0.1,0.4,0.227,6,11.2,0.536,4,5.1,0.784,1.9,4.6,6.6,2.7,0.9,0.8,2,4.2,16.3,2006,4,1
3189,3,Malik Allen,PF,27,CHI,54,20,701,6.2,12.7,0.49,0.1,0.1,1,6.2,12.6,0.488,1.2,2,0.605,2.3,4.9,7.2,1,0.7,0.8,1.7,4.7,13.7,2006,4,2
3190,4,Ray Allen,SG,30,SEA,78,78,3022,8.1,17.9,0.454,3.2,7.8,0.412,4.9,10.1,0.486,3.9,4.3,0.903,0.8,3.1,4,3.4,1.3,0.2,2.2,1.8,23.3,2006,2,4
3191,5,Tony Allen,PG,24,BOS,51,9,978,4.7,10.1,0.471,0.4,1.3,0.324,4.3,8.8,0.492,3.7,4.9,0.746,1.2,2.9,4.1,2.5,1.9,0.7,2.5,4.6,13.6,2006,1,4
3192,6,Rafer Alston,PG,29,HOU,63,63,2431,4.1,10.9,0.379,1.5,4.6,0.327,2.6,6.3,0.418,1.5,2.1,0.692,0.5,3.2,3.8,6.3,1.5,0.2,2.3,2.9,11.3,2006,1,4
3193,7,Chris Andersen,C,27,NOK,32,2,570,3.5,6.2,0.571,0,0,NA,3.5,6.2,0.571,3.1,6.5,0.476,3.9,5.9,9.8,0.4,0.5,2.6,1.6,5.3,10.2,2006,5,2
3194,8,Alan Anderson,SF,23,CHA,36,7,564,4.8,11.6,0.414,1.5,3.7,0.414,3.3,7.9,0.415,2.1,2.6,0.805,1.5,3,4.5,2,0.7,0.3,2,3.1,13.2,2006,3,3
3195,9,Derek Anderson,SG,31,TOT,43,11,1047,3.7,10.4,0.356,1.4,4.6,0.299,2.3,5.8,0.402,3.2,3.8,0.838,0.7,4.2,4.9,3.5,0.8,0.2,1.9,3.4,12,2006,2,3
3196,9,Derek Anderson,SG,31,HOU,20,8,582,4.2,10.7,0.393,1.2,4.1,0.284,3,6.6,0.462,3.8,4.5,0.836,0.7,4.4,5.1,3.3,0.9,0.2,2.3,3,13.4,2006,2,3
3198,10,Shandon Anderson,SF,32,MIA,48,1,638,3,7.1,0.429,0.3,1.1,0.263,2.8,6,0.458,0.7,1,0.722,1,3.6,4.6,1.7,1,0.3,1.4,4.2,7.1,2006,3,3
3200,12,Carmelo Anthony,SF,21,DEN,80,80,2941,9.3,19.2,0.481,0.5,1.9,0.243,8.8,17.4,0.506,7,8.7,0.808,1.5,3.3,4.8,2.6,1.1,0.5,2.7,2.8,26,2006,3,1
3201,13,Rafael Araujo,C,25,TOR,52,34,601,3.2,8.7,0.366,0,0.1,0,3.2,8.6,0.368,0.9,1.7,0.536,2.6,6,8.6,0.9,1.4,0.4,2.5,6.2,7.2,2006,5,2
3202,14,Gilbert Arenas,PG,24,WAS,80,80,3384,7.9,17.7,0.447,2.1,5.7,0.369,5.8,12,0.485,7,8.5,0.82,0.6,2.4,3,5.1,1.7,0.3,3.2,3,25,2006,1,4
3203,15,Trevor Ariza,SF,20,TOT,57,10,999,3.4,8.1,0.412,0,0.2,0.2,3.3,8,0.416,2.8,4.6,0.606,2.8,5,7.9,2.2,2.1,0.4,2.2,3.6,9.5,2006,3,1
3204,15,Trevor Ariza,SF,20,NYK,36,10,709,3.1,7.4,0.418,0.1,0.2,0.333,3,7.3,0.42,2.1,3.9,0.545,2.5,4.5,7,2.3,2.2,0.5,2.3,4,8.4,2006,3,4
3206,16,Darrell Armstrong,PG,37,DAL,62,2,622,2.5,7.4,0.336,0.6,2.8,0.229,1.9,4.6,0.4,1.9,2.4,0.786,1,3.6,4.7,5,1.6,0.2,3.4,4.1,7.5,2006,1,4
3207,17,Carlos Arroyo,PG-SG,26,TOT,77,0,1194,5.1,11.4,0.444,0.2,0.6,0.35,4.9,10.8,0.45,3.2,4.1,0.774,1,2.9,3.9,7,1.1,0.1,2.5,3.6,13.5,2006,1.25,4
3208,17,Carlos Arroyo,PG,26,DET,50,0,600,3.4,9.4,0.363,0.1,0.4,0.333,3.3,9.1,0.364,2.5,3.5,0.724,1.4,2.8,4.2,9.3,1.1,0.2,2.7,4.6,9.5,2006,1,4
3209,17,Carlos Arroyo,SG,26,ORL,27,0,594,6.7,13.4,0.502,0.3,0.8,0.357,6.4,12.5,0.512,3.9,4.8,0.81,0.5,3.1,3.6,4.7,1.2,0.1,2.3,2.5,17.6,2006,2,4
3210,18,Chucky Atkins,PG-SG,31,TOT,71,41,1713,4.7,12,0.394,2,5.8,0.354,2.7,6.3,0.431,2.7,3.4,0.791,0.5,2,2.5,4.2,0.9,0,1.8,3.2,14.2,2006,1.25,3
3211,18,Chucky Atkins,SG,31,WAS,28,2,552,4.3,11.3,0.379,2.2,6,0.359,2.2,5.3,0.402,1.4,2,0.71,0.8,2.2,2.9,4.5,0.9,0,2,3.8,12.2,2006,2,3
3212,18,Chucky Atkins,PG,31,MEM,43,39,1161,5,12.4,0.401,2,5.6,0.352,3,6.7,0.442,3.3,4.1,0.811,0.3,2,2.3,4,0.9,0.1,1.8,2.9,15.2,2006,1,3
3215,21,Marcus Banks,PG,24,TOT,58,29,1497,5.3,11.3,0.468,0.5,1.5,0.349,4.7,9.7,0.486,2.8,3.5,0.803,0.6,2.7,3.2,5.3,1.3,0.3,2.9,3.9,13.9,2006,1,4
3217,21,Marcus Banks,PG,24,MIN,40,28,1228,5.5,11.4,0.479,0.5,1.3,0.364,5,10.1,0.494,2.7,3.4,0.778,0.6,2.8,3.4,5.5,1.4,0.3,2.8,3.6,14,2006,1,4
3218,22,Leandro Barbosa,SG,23,PHO,57,11,1592,6.2,12.8,0.481,2,4.4,0.444,4.2,8.4,0.501,2.5,3.3,0.755,0.7,2.7,3.4,3.6,1.1,0.1,2,3.3,16.8,2006,2,3
3219,23,Matt Barnes,PF-SF,25,TOT,56,5,631,4,8,0.5,0.2,0.9,0.2,3.8,7.1,0.536,1.8,2.7,0.681,2.7,4.2,6.9,1.6,1.1,0.4,1.7,5.7,10,2006,3.75,2
3221,23,Matt Barnes,PF,25,PHI,50,0,538,3.9,7.4,0.536,0.1,0.7,0.182,3.8,6.6,0.576,1.9,2.9,0.674,2.7,3.7,6.5,1.5,1.1,0.5,1.6,6.2,10,2006,4,2
3226,26,Brent Barry,SG,34,SAS,74,5,1259,4.5,9.9,0.452,2.3,5.8,0.396,2.2,4.1,0.531,1.1,1.7,0.661,0.8,3.7,4.5,3.5,1.1,0.8,1.5,2.8,12.3,2006,2,3
3231,31,Tony Battie,C,29,ORL,82,82,2215,4.6,9,0.507,0,0.1,0,4.6,8.9,0.513,1.4,2.2,0.664,2.4,5.1,7.4,0.8,0.7,1.1,1.4,4.1,10.5,2006,5,2
3232,32,Shane Battier,SF,27,MEM,81,81,2839,3.8,7.9,0.488,0.8,2.1,0.394,3,5.8,0.522,1.9,2.6,0.707,2.1,3.4,5.4,1.7,1.2,1.4,1.1,2.8,10.4,2006,3,3
3236,34,Charlie Bell,SG,26,MIL,59,6,1283,5.1,11.5,0.439,2,4.7,0.423,3.1,6.8,0.45,1.8,2.5,0.708,0.6,2.8,3.4,3.6,1.7,0.1,1.2,3.5,13.9,2006,2,3
3237,35,Raja Bell,SG,29,PHO,79,79,2959,5.2,11.3,0.457,2.4,5.4,0.442,2.8,5.9,0.471,1.4,1.8,0.788,0.5,2.5,3.1,2.5,0.9,0.3,1.1,3,14.1,2006,2,3
3239,37,Mike Bibby,PG,27,SAC,82,82,3167,6.8,15.7,0.432,2.2,5.6,0.386,4.6,10.1,0.458,3.9,4.6,0.849,0.3,2.4,2.7,5,0.9,0.1,2.3,1.9,19.6,2006,1,4
3240,38,Andris Biedrins,C,19,GSW,68,2,1000,4.2,6.7,0.638,0,0,NA,4.2,6.7,0.638,0.8,2.6,0.306,4.5,5.7,10.2,0.9,0.8,1.7,1.2,6.8,9.3,2006,5,2
3241,39,Chauncey Billups,PG,29,DET,81,81,2925,5.2,12.5,0.418,2.3,5.2,0.433,2.9,7.2,0.407,5.7,6.4,0.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2,18.4,2006,1,4
3242,40,Steve Blake,PG,25,POR,68,57,1781,4.2,9.5,0.438,1.5,3.7,0.413,2.6,5.8,0.455,1.5,1.8,0.791,0.5,2.4,3,6.2,0.8,0.1,1.7,2.2,11.3,2006,1,3
3244,42,Mark Blount,C,30,TOT,81,55,2240,6,11.8,0.508,0,0,NA,6,11.8,0.508,2.7,3.6,0.757,1.5,4.3,5.9,1.6,0.6,1.2,3.1,4.1,14.7,2006,5,1
3245,42,Mark Blount,C,30,BOS,39,25,1083,6.4,12.6,0.511,0,0,NA,6.4,12.6,0.511,3.2,4.2,0.764,1.2,4.2,5.4,2.2,0.5,1.2,4,3.6,16.1,2006,5,1
3246,42,Mark Blount,C,30,MIN,42,30,1157,5.6,11,0.506,0,0,NA,5.6,11,0.506,2.2,3,0.747,1.9,4.4,6.3,1,0.8,1.2,2.3,4.6,13.3,2006,5,2
3247,43,Keith Bogans,SG-SF,25,TOT,72,31,1912,4,10.2,0.395,1.2,3.8,0.325,2.8,6.5,0.436,2.4,3.5,0.683,1,3.8,4.8,2.4,1.3,0.2,1.7,3.1,11.7,2006,2.25,3
3248,43,Keith Bogans,SG,25,CHA,39,9,848,4.8,12.2,0.396,1.4,4.2,0.337,3.4,8.1,0.426,3.4,4.5,0.762,1.2,3.3,4.5,1.9,1.7,0.1,1.7,3.3,14.5,2006,2,3
3249,43,Keith Bogans,SF,25,HOU,33,22,1064,3.4,8.7,0.395,1.1,3.5,0.314,2.3,5.2,0.448,1.6,2.7,0.58,0.9,4.2,5,2.8,1.1,0.2,1.7,3,9.5,2006,3,3
3250,44,Andrew Bogut,PF,21,MIL,82,77,2348,5,9.3,0.533,0,0,0,5,9.2,0.536,1.9,3,0.629,2.9,5.9,8.8,2.9,0.8,1,1.9,4,11.8,2006,4,2
3251,45,Matt Bonner,PF,25,TOR,78,6,1710,4.4,9.8,0.448,2.1,5.1,0.42,2.3,4.7,0.478,1.3,1.6,0.829,1.8,4.2,6,1.2,1,0.7,0.7,4.5,12.3,2006,4,3
3253,47,Carlos Boozer,PF,24,UTA,33,19,1025,7.7,14,0.549,0,0,NA,7.7,14,0.549,3.5,4.8,0.723,2.6,7.4,10,3.1,1.1,0.3,2.4,3.7,18.9,2006,4,1
3254,48,Chris Bosh,C,21,TOR,70,70,2751,7.2,14.2,0.505,0,0.2,0,7.2,14.1,0.511,6.2,7.6,0.816,2.7,5.8,8.5,2.4,0.7,1,2.1,2.7,20.6,2006,5,1
3255,49,Bruce Bowen,SF,34,SAS,82,82,2755,3,7,0.433,1.4,3.2,0.424,1.7,3.8,0.44,0.7,1.1,0.607,0.5,3.7,4.2,1.6,1,0.4,0.9,2.5,8.1,2006,3,3
3256,50,Ryan Bowen,SF,30,HOU,68,19,652,2,6.8,0.298,0.2,1.2,0.136,1.9,5.6,0.333,0.6,0.8,0.786,1.7,3.1,4.9,1.3,1.2,0.3,0.7,4.7,4.9,2006,3,3
3257,51,Earl Boykins,PG,29,DEN,60,0,1542,6.3,15.4,0.41,1.4,4.2,0.346,4.9,11.3,0.434,3.5,4.1,0.874,0.5,1.4,1.9,5.4,1.1,0.1,1.9,1.7,17.6,2006,1,4
3259,53,Elton Brand,PF,26,LAC,79,79,3099,8.8,16.7,0.527,0,0,0.333,8.8,16.6,0.527,5.1,6.6,0.775,2.7,6.4,9.2,2.4,0.9,2.3,2,2.6,22.7,2006,4,1
3260,54,Primoz Brezec,C,26,CHA,79,79,2165,6.8,13.2,0.517,0,0,0,6.8,13.1,0.518,2.7,3.7,0.732,3,4.3,7.3,0.7,0.3,0.5,1.4,3.8,16.3,2006,5,2
3261,55,Devin Brown,SG,27,UTA,81,14,1711,4.4,11.1,0.393,0.8,2.5,0.331,3.5,8.6,0.411,3.3,4.5,0.745,1.5,2.8,4.4,2.2,0.9,0.3,2.1,3.2,12.9,2006,2,3
3262,56,Kwame Brown,C,23,LAL,72,49,1978,3.7,7.1,0.526,0,0,0,3.7,7,0.527,2.3,4.3,0.545,3.3,5.3,8.6,1.3,0.5,0.8,1.8,3.6,9.8,2006,5,2
3263,57,P.J. Brown,C,36,NOK,75,73,2380,4.1,8.8,0.461,0,0,NA,4.1,8.8,0.461,2.1,2.5,0.827,2.8,5.5,8.3,1.4,0.7,0.8,1.4,3.3,10.2,2006,5,2
3267,59,Kobe Bryant,SG,27,LAL,80,80,3277,10.7,23.9,0.45,2,5.7,0.347,8.8,18.2,0.482,7.6,9,0.85,0.8,3.9,4.7,4,1.6,0.3,2.7,2.6,31.1,2006,2,4
3268,60,Greg Buckner,SG,29,DEN,73,27,1758,3.7,8.5,0.434,1.8,5,0.354,1.9,3.6,0.546,0.9,1.1,0.782,0.6,3.6,4.3,2.6,1.8,0.4,1.1,3.7,10.1,2006,2,3
3270,62,Antonio Burks,PG,25,MEM,57,1,570,3.2,9.1,0.354,0.1,0.4,0.167,3.2,8.7,0.362,0.6,1.5,0.435,0.3,2.1,2.3,4.8,1.3,0,2.3,2.8,7.1,2006,1,4
3272,64,Caron Butler,SF,25,WAS,75,54,2708,6.6,14.4,0.455,0.5,1.6,0.342,6,12.8,0.469,3.8,4.4,0.87,1.5,4.7,6.2,2.5,1.7,0.2,2.3,3.2,17.5,2006,3,1
3273,65,Jackie Butler,C,20,NYK,55,0,740,5.7,10.5,0.544,0,0,NA,5.7,10.5,0.544,2.8,3.7,0.753,3.3,5.6,8.9,1.2,0.8,1.5,3,6.2,14.2,2006,5,2
3274,66,Rasual Butler,SF,26,NOK,79,20,1875,4.9,12.2,0.406,1.8,4.6,0.38,3.2,7.5,0.422,1.5,2.2,0.693,1,3.5,4.5,0.8,0.6,0.9,1.2,2.7,13.2,2006,3,3
3277,69,Zarko Cabarkapa,PF,24,GSW,61,0,505,4.8,12.4,0.385,0.4,1.4,0.25,4.4,11,0.403,4.3,6,0.714,2.6,5.3,7.9,1.4,0.9,0.5,2.5,6.2,14.2,2006,4,1
3278,70,Jose Calderon,SG,24,TOR,64,11,1487,3.2,7.6,0.423,0.2,1,0.163,3,6.5,0.465,1.9,2.2,0.848,0.7,2.7,3.4,7,1,0.1,2.4,2.3,8.4,2006,2,4
3279,71,Marcus Camby,C,31,DEN,56,54,1857,5.9,12.6,0.465,0,0.2,0.091,5.8,12.4,0.472,2.2,3,0.712,2.6,10.4,12.9,2.2,1.5,3.6,1.8,3.1,13.9,2006,5,2
3281,73,Matt Carroll,SG,25,CHA,78,6,1275,5.4,13.4,0.403,2,5.2,0.389,3.4,8.2,0.412,3.9,4.7,0.821,1,3.5,4.4,1,1.3,0.3,1.4,3.4,16.8,2006,2,3
3282,74,Anthony Carter,PG,30,MIN,45,8,589,3.2,8.4,0.387,0.2,0.9,0.267,3,7.5,0.402,2.4,3.4,0.727,0.6,3.2,3.8,6.2,1.5,0.6,2.4,4.3,9.2,2006,1,4
3283,75,Vince Carter,SG,29,NJN,79,79,2906,8.1,18.8,0.43,1.5,4.5,0.341,6.5,14.3,0.459,5.9,7.4,0.799,1.7,4.1,5.7,4.2,1.2,0.7,2.6,2.9,23.7,2006,2,1
3284,76,Sam Cassell,PG,36,LAC,78,75,2653,6.7,15.1,0.443,0.9,2.6,0.368,5.7,12.5,0.459,3.9,4.5,0.863,0.5,3.4,3.9,6.7,1,0.1,2.4,3.1,18.3,2006,1,4
3288,78,Tyson Chandler,C,23,CHI,79,50,2121,2.7,4.8,0.565,0,0,0,2.7,4.8,0.567,1.6,3.3,0.503,4.5,7.6,12.1,1.4,0.7,1.8,2.1,5.1,7.1,2006,5,2
3290,80,Josh Childress,SF,22,ATL,74,10,2249,4.4,8.1,0.552,0.5,1,0.492,3.9,7,0.56,2.5,3.2,0.766,2.1,4,6.2,2.1,1.4,0.6,1.6,2.9,11.9,2006,3,3
3292,82,Speedy Claxton,PG,27,NOK,71,3,2019,5.4,13.1,0.413,0.3,1.1,0.27,5.1,12,0.426,4.4,5.7,0.769,0.7,2.7,3.4,6,1.9,0.1,2.7,3.2,15.5,2006,1,4
3294,84,Jarron Collins,C,27,UTA,79,41,1730,2.7,5.8,0.461,0,0,NA,2.7,5.8,0.461,3.3,4.6,0.717,2.8,4.1,6.9,2,0.7,0.6,1.3,5.2,8.6,2006,5,2
3295,85,Jason Collins,C,27,NJN,71,70,1895,2,5,0.397,0.1,0.2,0.25,1.9,4.7,0.404,0.8,1.6,0.512,1.8,4.7,6.5,1.3,0.9,0.8,1.2,4.8,4.8,2006,5,3
3296,86,Nick Collison,PF,25,SEA,66,27,1448,5.1,9.8,0.525,0,0.1,0,5.1,9.7,0.529,2,2.8,0.699,3.6,5.6,9.1,1.8,0.5,0.9,1.9,5.3,12.3,2006,4,2
3297,87,Brian Cook,PF,25,LAL,81,46,1535,6.1,12,0.511,0.8,2,0.429,5.3,10,0.527,2,2.4,0.832,2.1,4.4,6.4,1.7,0.9,0.8,1.4,4.8,15.1,2006,4,2
3298,88,Jamal Crawford,SG,25,NYK,79,27,2555,5.2,12.4,0.416,1.4,4.1,0.345,3.7,8.3,0.452,4.2,5,0.826,0.5,3,3.5,4.2,1.2,0.2,2.5,2.1,15.9,2006,2,4
3299,89,Austin Croshere,PF,30,IND,50,26,1148,4.1,8.9,0.463,1.7,4.4,0.386,2.4,4.5,0.538,2.8,3.2,0.882,1.9,6.4,8.3,1.9,0.7,0.2,1.5,3.3,12.8,2006,4,3
3300,90,Eddy Curry,C,23,NYK,72,69,1865,6.5,11.5,0.563,0,0,NA,6.5,11.5,0.563,5.9,9.4,0.632,2.8,5.5,8.3,0.4,0.5,1.1,3.5,4.6,18.9,2006,5,1
3301,91,Samuel Dalembert,C,24,PHI,66,52,1761,4,7.5,0.531,0,0,0,4,7.5,0.533,1.9,2.7,0.705,3.3,7.8,11.1,0.5,0.7,3.3,2.2,5,9.9,2006,5,2
3302,92,Erick Dampier,C,30,DAL,82,36,1934,3.2,6.5,0.493,0,0,NA,3.2,6.5,0.493,2.4,4,0.591,5.1,6.8,11.9,0.9,0.5,2,2.1,4.9,8.7,2006,5,2
3303,93,Antonio Daniels,SG,30,WAS,80,17,2283,3.6,8.7,0.418,0.4,1.6,0.228,3.3,7.1,0.461,4.5,5.3,0.845,0.3,2.4,2.7,4.5,0.8,0.1,1.4,1.5,12.1,2006,2,3
3304,94,Marquis Daniels,SG,25,DAL,62,29,1766,5,10.4,0.48,0.1,0.4,0.211,4.9,10,0.491,2.8,3.7,0.754,1.7,2.9,4.6,3.5,1.4,0.3,2,2.9,12.9,2006,2,4
3305,95,Antonio Davis,PF-C,37,TOT,44,39,940,3.1,7.3,0.432,0,0,0,3.1,7.2,0.434,2,3.1,0.642,3.4,4.5,8,0.8,0.9,0.4,2,4.8,8.3,2006,4.25,2
3306,95,Antonio Davis,PF,37,NYK,36,31,749,3.3,7.6,0.428,0,0,0,3.3,7.6,0.43,2.2,2.9,0.738,3.6,4.7,8.3,0.7,1,0.4,2.1,4.8,8.7,2006,4,2
3308,96,Baron Davis,PG,26,GSW,54,48,1971,6.1,15.7,0.389,1.9,5.9,0.315,4.3,9.8,0.434,3.6,5.3,0.675,0.8,3.5,4.3,8.8,1.6,0.3,2.9,3,17.7,2006,1,4
3314,99,Ricky Davis,SG-SF,26,TOT,78,78,3207,6.6,14.6,0.448,0.8,2.7,0.302,5.7,11.9,0.481,3.1,3.9,0.797,0.7,3.2,3.9,4.4,1,0.2,2.4,2.1,17,2006,2.25,4
3315,99,Ricky Davis,SG,26,BOS,42,42,1747,6.8,14.6,0.464,0.8,2.6,0.32,6,12,0.495,2.7,3.4,0.787,0.8,3,3.9,4.6,1,0.2,2.4,1.9,17,2006,2,4
3316,99,Ricky Davis,SF,26,MIN,36,36,1460,6.3,14.7,0.429,0.8,2.9,0.282,5.5,11.8,0.464,3.6,4.5,0.807,0.6,3.4,4,4.3,1,0.2,2.4,2.4,17,2006,3,4
3317,100,Carlos Delfino,SG,23,DET,68,1,726,4.5,11.2,0.403,1,3,0.333,3.5,8.2,0.428,2.2,3.3,0.672,1.4,4.2,5.6,2.2,1,0.7,1.8,4.3,12.2,2006,2,3
3321,102,Luol Deng,SF,20,CHI,78,56,2604,6.1,13.2,0.463,0.3,1.1,0.269,5.8,12.1,0.481,2.9,3.8,0.75,1.8,5.4,7.1,2,1,0.7,1.5,1.8,15.4,2006,3,1
3322,103,Boris Diaw,PF,23,PHO,81,70,2874,5.6,10.7,0.526,0.1,0.4,0.267,5.5,10.3,0.536,2.2,3,0.731,2,5,7,6.3,0.7,1.1,2.4,3.3,13.5,2006,4,1
3325,106,Ike Diogu,PF,22,GSW,69,14,1031,6.1,11.7,0.524,0,0,NA,6.1,11.7,0.524,4.7,5.9,0.81,3.3,4.7,8,1,0.5,1,2.7,5.7,17,2006,4,1
3326,107,DeSagana Diop,C,24,DAL,81,45,1510,1.8,3.7,0.487,0,0,0.5,1.8,3.6,0.487,0.9,1.7,0.542,3.5,5.5,8.9,0.5,1,3.5,0.9,6,4.5,2006,5,2
3327,108,Juan Dixon,SG,27,POR,76,42,1920,6.7,15.4,0.435,1.2,3.2,0.382,5.5,12.2,0.449,2.9,3.6,0.804,0.6,2.8,3.3,2.8,1.1,0.1,2.1,2.9,17.5,2006,2,4
3329,110,Keyon Dooling,PG,25,ORL,50,7,1137,5.6,12.8,0.44,0.4,1.4,0.302,5.2,11.5,0.456,3.2,3.8,0.835,0.3,2.1,2.5,3.5,1.6,0.1,2.6,3.7,14.9,2006,1,4
3330,111,Chris Duhon,PG,23,CHI,74,38,2155,3.6,9,0.4,1.7,4.6,0.36,1.9,4.3,0.442,2,2.4,0.818,0.5,3.2,3.7,6.2,1.2,0.1,2,2.5,10.8,2006,1,3
3331,112,Tim Duncan,PF,29,SAS,80,80,2784,7.4,15.3,0.484,0,0.1,0.4,7.4,15.3,0.485,4.3,6.9,0.629,3,8.4,11.4,3.3,0.9,2.1,2.6,2.8,19.2,2006,4,1
3332,113,Mike Dunleavy,SF,25,GSW,81,68,2578,4.6,11.4,0.406,1,3.6,0.285,3.6,7.8,0.462,2.7,3.5,0.778,1.1,4.5,5.6,3.3,0.8,0.4,1.7,2.8,13,2006,3,3
3338,117,Monta Ellis,SG,20,GSW,49,3,886,5.4,12.9,0.415,1.1,3.3,0.341,4.2,9.6,0.441,1.7,2.4,0.712,0.9,3.4,4.3,3.2,1.3,0.4,2.4,2.8,13.6,2006,2,4
3339,118,Francisco Elson,C,29,DEN,72,54,1579,3.4,6.5,0.532,0,0.1,0.2,3.4,6.4,0.538,1.1,1.7,0.662,2.3,5.5,7.7,1.1,1.2,1,1.5,4.8,8,2006,5,2
3340,119,Melvin Ely,PF,27,CHA,57,22,1348,5.8,11.4,0.508,0,0.1,0,5.8,11.3,0.511,3.4,5.1,0.667,2.5,4.9,7.4,2,0.8,1.2,2.7,4.3,15,2006,4,1
